"Cont_Target","tmin_L16","tmax_L17","tmean_L17","ndvi_L0","Agr","Gra","For","Wat","Ope","Par","Edu","Hea","Cem","Mil","Gov","Ind","Com","Tra","Inf.","Vlo","Low","Med","Hig","Vhi","RND","FloodRisk","l_sgpm_L6","uw_L5","vw_L11","rh_L4"
0,23.23178081,41.63118901,32.47017384,0.135030303,0,0,0,0,0,0,0.504941255,0,0,0,0,43.87763133,0,1.208861973,0,0,0,31.29485269,20.1936634,0,0.020033114,0.384480338,1.278772315,-2.338952654,-0.678812212,78.50664952
0,21.76703191,41.70800304,31.80397492,0.228285714,0,0,0,15.5247421,3.60316296,0,1.91001889,0,0.262513571,0,0,4.148087582,0.348218124,0,0,0,0,0,74.20325677,0,0.012474761,0.671546605,1.331288934,-2.881216109,-0.296013276,79.03892743
0,22.11096583,36.77457233,29.43969849,0.403677419,0,1.544927963,0,2.712401412,32.16256852,0,0,0,0,0,0,5.016774646,0,0,0,0,0,28.94478312,25.75333474,3.865233248,0.017181648,0.446041366,1.331288934,-3.047808864,-0.268801306,79.66513423
0.354999456,24.19422885,42.26332441,33.2763651,0.142875,0,0,0,0,0,0.226993401,2.250843259,0,0.15491658,0,0,1.890288747,26.209797,0.006714804,0,0,0,0,65.59131468,0.246349518,0.031141668,0.632080588,1.331288934,-3.047808864,-0.268801306,79.66513423
0.406445803,23.77313209,38.26215381,31.08324278,0.2626,0,0,0,1.586770187,0.201776117,2.344236087,28.33651057,0,2.364354887,0,0,0,12.16409695,0.552163067,0,0,25.86240363,0.001646325,24.79610426,0,0.024129963,0.442779901,1.330273173,-2.799876591,-0.353433116,78.95878894
0.425266278,23.28225875,40.41665392,31.87234407,0.140588235,0,0,0,0,0,0,4.20016375,0,0.575944472,0,0,12.25836488,0.050479156,0,0,0,0,0,68.14198887,14.77277636,0.026204147,0.151401106,1.331288934,-2.881216109,-0.296013276,79.03892743
0,23.59886347,40.84392808,32.26189657,0.124875,0,0,0,7.658547978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.10111638,33.24033564,0.018535767,0.272610518,1.331288934,-2.881216109,-0.296013276,79.03892743
0,23.53100076,41.02973986,32.28975656,0.111815789,0,0,0,5.948301447,0,0,0,0,0,0,0,32.41232,20.51133782,0,0,0,0,10.75013778,6.675754881,16.69845428,0.020334938,0.266767168,1.331288934,-2.881216109,-0.296013276,79.03892743
0,23.49112523,40.92603349,32.22880147,0.11325,0,0,0,7.677134125,0,0,0.10388659,0,0,0,0,4.885389511,0,0,0,0,0,0,80.56257187,6.771017907,0.02373701,0.26845041,1.331288934,-2.881216109,-0.296013276,79.03892743
0,21.73245978,33.72533262,27.79465444,0.023714286,0,0,0,7.459882735,0.214122579,0,0,0,0,0,0,0,0,0,0,0,0,0,82.41437775,9.911616936,0.016241258,0.296320563,1.241727499,-2.338952654,-0.678812212,78.50664952
0.054762871,22.3860152,37.71324772,30.0826048,0.284,0,0,0,0,3.540264293,1.774073314,0.21905338,0,0.507853717,0,4.622762702,0,1.776789466,0.096507683,23.86363388,1.681161047,37.55964123,20.97952122,2.932634318,0,0.022483053,0.690211298,1.446661024,-2.727890692,-0.606531233,79.56834709
